项目（单位：万元）,中心/区域,板块业务分类,业务板块-分析汇报一级,组织标签,实际（营收）,预算（营收）,预算完成率（营收）,预实差异（营收）,同期（营收）,实际值（物资）,预算值（物资）,预算完成率（物资）,同期值（物资）,实际值（餐）,预算值（餐）,预算完成率（餐）,同期值（餐）,实际值（毛利）,预算值（毛利）,预算完成率（毛利）,同期值（毛利）,实际（毛利率）,预算（毛利率）,预实差异（毛利率）,同期（毛利率）,实际值（人力）,预算值（人力）,预算完成率（人力）,同期值（人力）,实际值（其他）,预算值（其他）,预算完成率（其他）,同期值（其他）,实际值（外收）,预算值（外收）,同期值（外收）,实际值（外支）,预算值（外支）,同期值（外支）,实际（利润）,预算（利润）,预算完成率（利润）,预实差异（利润）,同期（利润）,实际值（利润率）,预算值（利润率）,预实差异（利润率）,同期值（利润率）,实际值（人力成本率）,预算值（人力成本率）,预算完成率（人力成本率）,同期值（人力成本率）,实际值（创收）,预算值（创收）,预算完成率（创收）,同期值（创收）,实际值（创利）,预算值（创利）,预算完成率（创利）,同期值（创利）,实际值（人数）,预算值（人数）,预实差异（人数）,同期值（人数）,实际值（人均人力）,同期值（人均人力）,预算值（人均人力）,预实差异（人均人力）,看板取值标记
西南新拓配送业务3,三大区域,西南区域,增量,西南新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西南新拓配送业务2,三大区域,西南区域,增量,西南新拓配送业务2,0,"1,024.06",0.00%,"-1,024.06",0,0,835.2,0.00%,0,0,0,,0,0,188.86,0.00%,0,,18.44%,-18.44%,,0,29.72,0.00%,0,0,57.33,0.00%,0,0,0,0,0,0,0,0,101.81,0.00%,-101.81,0,,9.94%,-9.94%,,,2.90%,0.00%,,-1,34.46,-2.90%,,-1,3.43,-29.19%,,0,17.14,-17.14,0,,,1.73,,
西南新拓配送业务1,三大区域,西南区域,增量,西南新拓配送业务1,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,22.86,-22.86,0,,,0,,
石屏一中食堂,三大区域,西南区域,存量,石屏一中食堂,12.72,0,,12.72,272.26,0.52,0,,0,26.68,0,,179.19,-14.48,0,,93.08,-113.85%,,-113.85%,34.19%,3.32,0,,39.26,2.95,0,,39.18,0,0,0.22,0,0,0,-20.75,0,0.00%,-20.75,14.85,-163.13%,,-163.13%,5.45%,26.10%,,,14.42%,3.83,-1,583.15%,6.93,-6.25,-1,-425.03%,0.38,3,3,0,16.57,1.11,2.37,0,1.11,
琼林育贤科技项目,三大区域,西南区域,存量,琼林育贤科技项目,1.89,1.89,100.00%,0,0,0,0,,0,0,0,,0,1.89,1.89,100.00%,0,100.00%,100.00%,0.00%,,0,0,,0,2.52,2.52,100.00%,0.36,0,0,0,0,0,0,-0.63,-0.63,100.10%,0,-0.36,-33.33%,-33.37%,0.03%,,0.00%,0.00%,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西南区域总经理室,三大区域,西南区域,区域管理部门,西南区域总经理室,0,0,,0,0,0,0,,0,0.07,0,,0,-0.07,0,,0,,,0.00%,,112.4,149.32,75.27%,69.57,90.27,78.76,114.62%,46.24,0,0,0,0,0,0,-202.75,-228.08,111.11%,25.33,-115.81,,,0.00%,,,,75.27%,,0,0,,0,-1.8,-1.53,81.91%,-1.66,7.86,11.14,-3.29,5.71,14.31,12.18,13.4,0.9,
东部新拓配送业务5,三大区域,东部区域,增量,东部新拓配送业务5,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
帕瓦项目,三大区域,东部区域,存量,帕瓦项目,0,0,,0,85.48,0,0,,0,0,0,,0,-1.49,0,,-11.95,,,0.00%,-13.98%,1.49,0,,97.43,0.26,0,,1.27,0,0,0,0,0,0.78,-1.74,0,0.00%,-1.74,-14,,,0.00%,-16.38%,,,,113.98%,0,-1,200.00%,0.88,-1.17,-1,83.05%,-0.14,0,0,0,19.86,,4.91,,,
东部区域总经理室,三大区域,东部区域,区域管理部门,东部区域总经理室,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,115.61,122.45,94.41%,65.36,51.82,26.6,194.78%,19.07,0,0,0,0,0,0,-167.43,-149.06,87.67%,-18.37,-84.43,,,0.00%,,,,94.41%,,0,0,,0,-1.45,-1.22,81.02%,-1.29,9.14,7.57,1.57,3.57,12.64,18.3,16.17,-3.53,
商业业务,商业业务,,,,"7,187.68","6,846.29",104.99%,341.39,"8,188.10","4,065.71","4,201.43",96.77%,"5,914.31",2.42,0,,0.1,"3,119.54","2,644.86",117.95%,"2,273.69",43.40%,38.63%,4.77%,27.77%,502.94,547.48,91.86%,417.58,213.67,184.35,115.90%,118.04,0.87,0,1.28,0.58,0,0.04,"2,403.23","1,913.03",125.62%,490.2,"1,739.31",33.44%,27.94%,5.49%,21.24%,7.00%,8.00%,91.86%,5.10%,14.29,12.51,114.28%,19.61,4.78,3.49,136.75%,4.17,90.57,109.86,-19.29,98.14,5.55,4.25,4.98,0.57,营收/利润取值
后勤数智零售部,商业业务,科创发展中心,后勤数智零售部,后勤数智零售部,646.99,524.15,123.44%,122.84,545.12,-6.51,0,,1.21,0,0,,-0.39,653.5,524.15,124.68%,544.29,101.01%,100.00%,1.01%,99.85%,93.66,81.51,114.91%,86.1,143.57,112.44,127.69%,51.37,0,0,0.68,0.57,0,0.04,415.69,330.2,125.89%,85.49,407.46,64.25%,63.00%,1.25%,74.75%,14.48%,15.55%,114.91%,15.80%,6.91,6.43,107.42%,6.33,4.44,4.05,109.56%,4.73,6.86,8,-1.14,10.29,13.66,8.37,10.19,3.47,
线上商城业务,商业业务,线上商城业务,线上商城业务,线上商城业务,"1,616.73","1,593.00",101.49%,23.73,"3,071.43",794.68,"1,044.50",76.08%,"2,894.65",0,0,,0.04,822.05,548.5,149.87%,176.75,50.85%,34.43%,16.41%,5.75%,68.01,111,61.27%,15.74,27.56,30.2,91.25%,16.82,0,0,0,0,0,0,726.48,407.29,178.37%,319.19,144.19,44.94%,25.57%,19.37%,4.69%,4.21%,6.97%,61.27%,0.51%,23.77,14.35,165.64%,195.15,10.68,3.67,291.12%,9.16,7.43,13.14,-5.71,2.57,9.16,6.12,8.45,0.71,
线下商超-便利店,商业业务,线下商超-便利店,,,"4,313.80","4,095.29",105.34%,218.51,"3,931.89","2,916.34","2,751.21",106.00%,"2,604.46",0,0,,0.39,"1,397.46","1,344.08",103.97%,"1,327.04",32.40%,32.82%,-0.43%,33.75%,280.89,291.88,96.23%,260.61,37.87,39.13,96.78%,40.46,0.87,0,0.6,0,0,0,"1,079.57","1,013.07",106.56%,66.5,"1,026.57",25.03%,24.74%,0.29%,26.11%,6.51%,7.13%,96.23%,6.63%,15.36,14.03,109.46%,15.09,3.84,3.47,110.74%,3.94,65.14,75.71,-10.57,72.71,4.31,3.58,3.86,0.46,
皓峰初中店,商业业务,线下商超-便利店,两校一园便利店,皓峰初中店,531.28,534.67,99.37%,-3.39,520.28,352.07,358.44,98.22%,345.03,0,0,,0,179.21,176.23,101.69%,175.24,33.73%,32.96%,0.77%,33.68%,34.84,32.82,106.15%,27.98,3.71,2.74,135.75%,2.81,0,0,0,0,0,0,140.66,140.67,99.99%,-0.01,144.46,26.48%,26.31%,0.17%,27.77%,6.56%,6.14%,106.15%,5.38%,15.25,16.29,93.61%,18.6,4.04,4.29,94.20%,5.16,7.71,8,-0.29,7.43,4.52,3.77,4.1,0.41,
皓峰高复中心店,商业业务,线下商超-便利店,两校一园便利店,皓峰高复中心店,36.28,59.99,60.48%,-23.71,0,25.1,41.99,59.77%,0,0,0,,0,11.18,18,62.13%,0,30.82%,30.00%,0.82%,,4.25,6.8,62.47%,0,1.38,1.24,111.28%,0,0,0,0,0,0,0,5.55,9.95,55.76%,-4.4,0,15.30%,16.59%,-1.29%,,11.72%,11.34%,62.47%,,8.53,8.82,96.80%,,1.31,1.46,89.26%,,0.86,1.71,-0.86,0,4.96,,3.97,0.99,
皓峰高中店,商业业务,线下商超-便利店,两校一园便利店,皓峰高中店,502.58,490.06,102.55%,12.52,488.78,332.9,329.32,101.09%,327.06,0,0,,0,169.68,160.74,105.56%,161.72,33.76%,32.80%,0.96%,33.09%,25.86,27.68,93.45%,26.47,5.25,3.06,171.74%,4.03,0,0,0,0,0,0,138.57,130.01,106.59%,8.56,131.22,27.57%,26.53%,1.04%,26.85%,5.15%,5.65%,93.45%,5.42%,19.43,17.71,109.75%,18.46,5.36,4.7,114.06%,4.96,6,7,-1,7,4.31,3.78,3.95,0.36,
皓峰国际店,商业业务,线下商超-便利店,两校一园便利店,皓峰国际店,218.7,209,104.64%,9.7,205.4,144.25,138.96,103.81%,135.99,0,0,,0,74.45,70.04,106.30%,69.41,34.04%,33.51%,0.53%,33.79%,17.58,19.77,88.94%,16.93,1.76,1.97,89.27%,1.57,0,0,0,0,0,0,55.11,48.3,114.10%,6.81,50.91,25.20%,23.11%,2.09%,24.79%,8.04%,9.46%,88.94%,8.24%,12.44,10.57,117.66%,12.13,3.13,2.44,128.30%,3.01,4.14,5,-0.86,5,4.24,3.39,3.95,0.29,
皓峰教工店,商业业务,线下商超-便利店,两校一园便利店,皓峰教工店,81.64,84.13,97.04%,-2.49,79.89,63.9,62.68,101.94%,53.2,0,0,,0.39,17.74,21.45,82.69%,26.3,21.73%,25.50%,-3.77%,32.92%,20.31,18.74,108.34%,18.82,2.19,1.81,120.72%,2,0,0,0,0,0,0,-4.76,0.9,-530.23%,-5.66,5.48,-5.83%,1.07%,-6.90%,6.86%,24.87%,22.28%,108.34%,23.55%,4.02,4.49,89.56%,4.25,-0.23,0.05,-489.40%,0.29,4.57,5,-0.43,5,4.44,3.76,3.75,0.69,
皓峰私高店,商业业务,线下商超-便利店,两校一园便利店,皓峰私高店,961.03,830,115.79%,131.03,839.56,657.47,544.48,120.75%,537.72,0,0,,0,303.56,285.52,106.32%,301.84,31.59%,34.40%,-2.81%,35.95%,44.87,43.36,103.48%,39.34,5.36,2.8,191.65%,3.71,0,0,0,0,0,0,253.33,239.36,105.84%,13.97,258.79,26.36%,28.84%,-2.48%,30.82%,4.67%,5.22%,103.48%,4.69%,21.42,19.14,111.90%,21.34,5.65,5.52,102.28%,6.58,9.43,11,-1.57,11,4.76,3.58,3.94,0.82,
皓峰天马店,商业业务,线下商超-便利店,两校一园便利店,皓峰天马店,253.97,329.9,76.98%,-75.93,345.61,169.21,221.79,76.29%,228.56,0,0,,0,84.76,108.11,78.40%,117.05,33.37%,32.77%,0.60%,33.87%,26.5,27.62,95.96%,26.25,2.6,1.76,147.59%,2.27,0,0,0,0,0,0,55.66,78.73,70.69%,-23.07,88.53,21.92%,23.87%,-1.95%,25.62%,10.44%,8.37%,95.96%,7.60%,9.58,11.95,80.22%,13.17,2.1,2.85,73.67%,3.37,6,7,-1,7,4.42,3.75,3.95,0.47,
皓峰综合店,商业业务,线下商超-便利店,两校一园便利店,皓峰综合店,440.96,481.35,91.61%,-40.39,429.22,289.76,323.27,89.63%,287.14,0,0,,0,151.2,158.07,95.65%,142.09,34.29%,32.84%,1.45%,33.10%,30.42,36.14,84.18%,35.09,5.01,3.97,126.12%,4.66,0,0,0,0,0,0,115.78,117.97,98.15%,-2.19,102.34,26.26%,24.51%,1.75%,23.84%,6.90%,7.51%,84.18%,8.18%,14.49,13.32,108.82%,12.23,3.81,3.26,116.59%,2.92,7.71,10,-2.29,10.29,3.94,3.41,3.61,0.33,
皓峰宁海1店,商业业务,线下商超-便利店,异地便利店,皓峰宁海1店,463.08,361.4,128.13%,101.68,333.42,307.89,243.8,126.29%,222.93,0,0,,0,155.19,117.6,131.96%,110.49,33.51%,32.54%,0.97%,33.14%,14.24,14.79,96.30%,12.42,-6.97,1.07,-649.74%,3.87,0.23,0,0.22,0,0,0,148.15,101.74,145.62%,46.41,94.41,31.99%,28.15%,3.84%,28.32%,3.08%,4.09%,96.30%,3.73%,32.51,24.43,133.05%,26.84,10.4,6.88,151.21%,7.6,3.43,4,-0.57,3.86,4.15,3.22,3.7,0.46,
皓峰宁海2店,商业业务,线下商超-便利店,异地便利店,皓峰宁海2店,88.51,78.33,112.99%,10.18,76.36,63.04,52.09,121.02%,48.69,0,0,,0,25.47,26.24,97.05%,27.67,28.77%,33.50%,-4.73%,36.24%,13.73,13.66,100.52%,11.1,0.74,0.96,76.84%,1.96,0,0,0,0,0,0,11,11.62,94.64%,-0.62,14.61,12.43%,14.84%,-2.41%,19.13%,15.52%,17.44%,100.52%,14.54%,6.45,5.73,112.41%,6.88,0.8,0.85,94.15%,1.32,3.43,4,-0.57,3.14,4.01,3.53,3.42,0.59,
皓峰文成店,商业业务,线下商超-便利店,异地便利店,皓峰文成店,37.29,29.3,127.27%,7.99,32.24,25.72,19.63,131.03%,19.53,0,0,,0,11.57,9.67,119.63%,12.71,31.02%,33.00%,-1.98%,39.42%,2.38,2.85,83.52%,3.22,0.2,2.98,6.59%,0.4,0,0,0.05,0,0,0,8.99,3.84,234.03%,5.15,9.14,24.11%,13.11%,11.00%,28.36%,6.39%,9.73%,83.52%,10.00%,15.65,10.27,152.38%,10,3.77,1.35,280.21%,2.84,0.86,1,-0.14,1,2.78,3.22,2.85,-0.07,
皓峰芜湖店,商业业务,线下商超-便利店,异地便利店,皓峰芜湖店,139.96,123.83,113.03%,16.13,113.81,92.56,84.4,109.67%,78.17,0,0,,0,47.4,39.43,120.22%,35.64,33.87%,31.84%,2.03%,31.32%,7.2,7.7,93.56%,7.09,0.5,0.13,374.02%,3.82,0.24,0,0.18,0,0,0,39.93,31.59,126.39%,8.34,24.91,28.53%,25.51%,3.02%,21.89%,5.15%,6.22%,93.56%,6.23%,19.43,16.08,120.81%,16.06,5.54,4.1,135.09%,3.51,1.71,2,-0.29,2,4.2,3.54,3.85,0.35,
皓峰仙桃店,商业业务,线下商超-便利店,异地便利店,皓峰仙桃店,457.32,392,116.66%,65.32,375.66,326.28,268.17,121.67%,257.25,0,0,,0,131.04,123.83,105.82%,118.42,28.65%,31.59%,-2.94%,31.52%,27.48,30.81,89.18%,27.65,10.2,5.78,176.52%,8.4,0.15,0,0,0,0,0,93.51,87.24,107.18%,6.27,82.38,20.45%,22.26%,-1.81%,21.93%,6.01%,7.86%,89.18%,7.36%,16.64,12.72,130.82%,13.59,3.4,2.83,120.19%,2.98,6.86,8,-1.14,8,4.01,3.46,3.85,0.16,
皓峰镇江店,商业业务,线下商超-便利店,异地便利店,皓峰镇江店,78.56,91.32,86.03%,-12.76,91.65,51.59,62.17,82.99%,63.2,0,0,,0,26.97,29.15,92.51%,28.45,34.32%,31.92%,2.40%,31.04%,8.19,9.13,89.64%,8.24,5.96,8.87,67.18%,0.97,0.24,0,0.15,0,0,0,13.06,11.14,117.24%,1.92,19.39,16.62%,12.20%,4.43%,21.16%,10.42%,10.00%,89.64%,9.00%,9.59,10,95.97%,11.12,1.6,1.22,130.79%,2.35,1.71,2,-0.29,2,4.78,4.12,4.57,0.21,
宁海公学文创店,商业业务,线下商超-便利店,异地便利店,宁海公学文创店,22.65,0,,22.65,0,14.59,0,,0,0,0,,0,8.06,0,,0,35.59%,,35.59%,,3.02,0,,0,0,0,,0,0,0,0,0,0,0,5.04,0,0.00%,5.04,0,22.25%,,22.25%,,13.35%,,,,7.49,-1,948.93%,,1.67,-1,366.65%,,0.71,0,0.71,0,4.23,,,,
线下商超-商业街,商业业务,线下商超-商业街,,,610.16,633.85,96.26%,-23.69,639.66,361.21,405.71,89.03%,413.99,2.42,0,,0.07,246.53,228.14,108.06%,225.6,40.40%,35.99%,4.41%,35.27%,60.38,63.09,95.70%,55.13,4.66,2.58,181.10%,9.39,0,0,0,0,0,0,181.49,162.47,111.71%,19.02,161.09,29.74%,25.63%,4.11%,25.18%,9.90%,9.95%,95.70%,8.62%,10.11,10.05,100.58%,11.6,3.01,2.58,116.72%,2.92,11.14,13,-1.86,12.57,5.42,4.39,4.85,0.57,
海实文创店,商业业务,线下商超-商业街,后勤商业街,海实文创店,256.16,269,95.23%,-12.84,276.27,154.6,181.28,85.28%,187.37,0,0,,0,101.56,87.72,115.78%,88.9,39.65%,32.61%,7.04%,32.18%,14.05,15.59,90.10%,13.55,2.49,1.11,223.25%,1.12,0,0,0,0,0,0,85.02,71.01,119.72%,14.01,74.22,33.19%,26.40%,6.79%,26.87%,5.48%,5.80%,90.10%,4.91%,18.23,17.25,105.69%,20.39,6.05,4.55,132.88%,5.48,2.57,3,-0.43,3,5.46,4.52,5.2,0.27,
教育园嗨购店,商业业务,线下商超-商业街,后勤商业街,教育园嗨购店,218,239,91.21%,-21,246.37,144.37,158.93,90.84%,161.34,0,0,,0,73.63,80.06,91.97%,85.03,33.78%,33.50%,0.28%,34.51%,18.9,18.81,100.51%,16.79,0.27,0.16,165.33%,0.37,0,0,0,0,0,0,54.47,61.1,89.15%,-6.63,67.87,24.99%,25.56%,-0.58%,27.55%,8.67%,7.87%,100.51%,6.82%,11.53,12.71,90.75%,14.67,2.88,3.25,88.70%,4.04,3.43,4,-0.57,4,5.51,4.2,4.7,0.81,
教育园咖啡店,商业业务,线下商超-商业街,后勤商业街,教育园咖啡店,54.93,50.01,109.85%,4.92,53.34,8.73,17,51.34%,14.84,2.42,0,,0.07,43.78,33,132.65%,38.43,79.70%,66.00%,13.70%,72.05%,14.3,13.96,102.40%,12.48,0.51,0.58,87.03%,0.88,0,0,0,0,0,0,28.98,18.46,156.97%,10.52,25.08,52.76%,36.92%,15.84%,47.02%,26.03%,27.92%,102.40%,23.39%,3.84,3.58,107.27%,4.28,2.03,1.32,153.29%,2.01,2.57,3,-0.43,2.86,5.56,4.37,4.65,0.91,
教育园文创店,商业业务,线下商超-商业街,后勤商业街,教育园文创店,43.51,58,75.02%,-14.49,57.45,25.45,34.22,74.37%,33.48,0,0,,0,18.06,23.78,75.96%,23.96,41.51%,41.00%,0.51%,41.71%,8.13,8.92,91.08%,0,0.99,0.2,495.27%,0,0,0,0,0,0,0,8.94,14.66,61.00%,-5.72,23.96,20.55%,25.27%,-4.72%,41.71%,18.68%,15.39%,91.08%,0.00%,5.35,6.5,82.37%,,1.1,1.64,66.98%,,1.71,2,-0.29,0,4.74,,4.46,0.28,
教育园校服店,商业业务,线下商超-商业街,后勤商业街,教育园校服店,37.56,17.85,210.42%,19.71,6.23,28.06,14.28,196.50%,16.95,0,0,,0,9.5,3.57,266.10%,-10.71,25.29%,20.00%,5.29%,-171.91%,5.01,5.81,86.22%,12.31,0.42,0.52,80.06%,7.02,0,0,0,0,0,0,4.08,-2.76,347.99%,6.84,-30.04,10.86%,-15.44%,26.31%,-482.08%,13.33%,32.53%,86.22%,197.45%,7.5,3.07,244.06%,0.51,0.81,-0.47,371.65%,-2.44,0.86,1,-0.14,2.71,5.84,4.53,5.81,0.03,
科创发展中心,科创发展中心,,,,2.17,0,,2.17,10.99,0,0,,0,0,0,,0,2.17,0,,10.99,100.00%,,100.00%,100.00%,317.61,316.96,100.21%,198.09,69.7,96.26,72.40%,44.61,0,0,0,0,0,0,-385.14,-413.23,106.80%,28.09,-231.72,-17748.39%,,-17748.39%,-2108.50%,14636.54%,,100.21%,1802.57%,0.01,0,,0.06,-1.21,-1.3,106.99%,-1.17,17.29,18.43,-1.14,13.86,18.37,14.3,17.2,1.17,营收/利润取值
后勤市场管理部,科创发展中心,科创发展中心,后勤市场管理部,后勤市场管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,77.41,84.47,91.65%,27.62,38.8,64.52,60.13%,25.14,0,0,0,0,0,0,-116.21,-148.98,122.00%,32.77,-52.77,,,0.00%,,,,91.65%,,0,0,,0,-1.5,-1.76,114.89%,-1.91,3.71,4.57,-0.86,2.86,20.84,9.67,18.48,2.36,
后勤数智研发部,科创发展中心,科创发展中心,后勤数智研发部,后勤数智研发部,0,0,,0,10.99,0,0,,0,0,0,,0,0,0,,10.99,,,0.00%,100.00%,239.82,226.25,106.00%,170.47,30.9,31.75,97.34%,19.47,0,0,0,0,0,0,-270.72,-258,95.07%,-12.72,-178.95,,,0.00%,-1628.35%,,,106.00%,1551.21%,0,0,,0.06,-1.13,-1.14,101.01%,-1.05,11.86,13.86,-2,11,20.23,15.5,16.33,3.9,
托管学校入模产品服务,科创发展中心,科创发展中心,托管学校入模产品服务,托管学校入模产品服务,2.17,0,,2.17,0,0,0,,0,0,0,,0,2.17,0,,0,100.00%,,100.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,2.17,0,0.00%,2.17,0,100.00%,,100.00%,,0.00%,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
后勤供应发展部,科创发展中心,科创发展中心,后勤供应发展部,后勤供应发展部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0.38,6.25,6.06%,0,0,0,,0,0,0,0,0,0,0,-0.38,-6.25,193.92%,5.87,0,,,0.00%,,,,6.06%,,0,0,,,-1,-1,99.58%,,1.71,0,1.71,0,0.22,,,,
战略支持中心,战略支持中心,,,,339.22,339.22,100.00%,0,11.33,-21.5,0,,0,-8.05,-29.55,27.23%,0,368.77,368.77,100.00%,11.33,108.71%,108.71%,0.00%,100.00%,610.43,823.07,74.17%,541.67,193.23,231.07,83.63%,-38.17,1.19,0,0.35,0.43,0,0,-434.14,-685.37,136.66%,251.23,-491.81,-127.98%,-202.04%,74.06%,-4342.47%,179.95%,242.64%,74.17%,4782.65%,0.56,0.41,134.83%,0.02,-0.71,-0.83,114.59%,-0.91,35.29,47.43,-12.14,42.43,17.3,12.77,17.35,-0.05,营收/利润取值
后勤财务管理部,战略支持中心,战略支持中心,后勤财务管理部,后勤财务管理部,0,0,,0,0,-21.5,0,,0,-8.05,-29.55,27.23%,0,29.55,29.55,99.99%,0,,,0.00%,100.00%,88.71,93.2,95.19%,66.78,13.51,13.92,97.05%,-25.26,0.83,0,0.08,0.26,0,0,-72.1,-77.57,107.05%,5.47,-41.44,,,0.00%,-4144062700.00%,,,95.19%,6678212800.00%,0,0,,0,-0.81,-0.83,102.35%,-0.62,6.14,7.57,-1.43,6.71,14.44,9.95,12.31,2.13,
后勤解决方案部,战略支持中心,战略支持中心,后勤解决方案部,后勤解决方案部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,106.23,156.93,67.70%,107.85,46.85,29.55,158.56%,17.76,0,0,0,0.01,0,0,-153.09,-186.47,117.90%,33.38,-125.61,,,0.00%,,,,67.70%,,0,0,,0,-1.44,-1.19,78.73%,-1.16,6.57,11.43,-4.86,12,16.17,8.99,13.73,2.43,
后勤品牌战略部,战略支持中心,战略支持中心,后勤品牌战略部,后勤品牌战略部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,98.04,100.99,97.08%,60.52,51.8,72.2,71.75%,-6.82,0,0,0.28,0,0,0,-149.84,-173.19,113.48%,23.35,-53.42,,,0.00%,,,,97.08%,,0,0,,0,-1.53,-1.71,110.88%,-0.88,7.86,8,-0.14,7.14,12.48,8.47,12.62,-0.15,
后勤人资管理部,战略支持中心,战略支持中心,后勤人资管理部,后勤人资管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,121.09,120.85,100.20%,92.88,15.71,27.68,56.74%,-40.66,0,0,0,0,0,0,-136.8,-148.53,107.90%,11.73,-52.23,,,0.00%,,,,100.20%,,0,0,,0,-1.13,-1.23,108.08%,-0.56,9.71,12.43,-2.71,8.86,12.47,10.49,9.72,2.74,
后勤学院,战略支持中心,战略支持中心,后勤学院,后勤学院,0,0,,0,11.33,0,0,,0,0,0,,0,0,0,,11.33,,,0.00%,100.00%,67.16,61.18,109.77%,62.83,22.07,32.9,67.07%,17.72,0,0,0,0.04,0,0,-89.27,-94.08,105.11%,4.81,-69.23,,,0.00%,-611.26%,,,109.77%,554.78%,0,0,,0.18,-1.33,-1.54,113.56%,-1.1,3.29,4,-0.71,4,20.44,15.71,15.3,5.14,
后勤集团总裁室,战略支持中心,战略支持中心,后勤集团总裁室,后勤集团总裁室,339.22,339.22,100.00%,0,0,0,0,,0,0,0,,0,339.22,339.22,100.00%,0,100.00%,100.00%,0.00%,,129.19,289.91,44.56%,150.8,43.3,54.83,78.97%,-0.91,0.35,0,0,0.12,0,0,166.96,-5.52,3224.89%,172.48,-149.89,49.22%,-1.63%,50.85%,,38.09%,85.46%,44.56%,,2.63,1.17,224.40%,0,1.29,-0.02,6987.84%,-0.99,1.71,4,-2.29,3.71,75.36,40.6,72.48,2.89,
皓峰初中店,商业业务,线下商超-便利店,两校一园便利店,皓峰初中店,531.28,534.67,99.37%,-3.39,520.28,352.07,358.44,98.22%,345.03,0,0,,0,179.21,176.23,101.69%,175.24,33.73%,32.96%,0.77%,33.68%,34.84,32.82,106.15%,27.98,3.71,2.74,135.75%,2.81,0,0,0,0,0,0,140.66,140.67,99.99%,-0.01,144.46,26.48%,26.31%,0.17%,27.77%,6.56%,6.14%,106.15%,5.38%,15.25,16.29,93.61%,18.6,4.04,4.29,94.20%,5.16,7.71,8,-0.29,7.43,4.52,3.77,4.1,0.41,
皓峰高复中心店,商业业务,线下商超-便利店,两校一园便利店,皓峰高复中心店,36.28,59.99,60.48%,-23.71,0,25.1,41.99,59.77%,0,0,0,,0,11.18,18,62.13%,0,30.82%,30.00%,0.82%,,4.25,6.8,62.47%,0,1.38,1.24,111.28%,0,0,0,0,0,0,0,5.55,9.95,55.76%,-4.4,0,15.30%,16.59%,-1.29%,,11.72%,11.34%,62.47%,,8.53,8.82,96.80%,,1.31,1.46,89.26%,,0.86,1.71,-0.86,0,4.96,,3.97,0.99,
皓峰高中店,商业业务,线下商超-便利店,两校一园便利店,皓峰高中店,502.58,490.06,102.55%,12.52,488.78,332.9,329.32,101.09%,327.06,0,0,,0,169.68,160.74,105.56%,161.72,33.76%,32.80%,0.96%,33.09%,25.86,27.68,93.45%,26.47,5.25,3.06,171.74%,4.03,0,0,0,0,0,0,138.57,130.01,106.59%,8.56,131.22,27.57%,26.53%,1.04%,26.85%,5.15%,5.65%,93.45%,5.42%,19.43,17.71,109.75%,18.46,5.36,4.7,114.06%,4.96,6,7,-1,7,4.31,3.78,3.95,0.36,
皓峰国际店,商业业务,线下商超-便利店,两校一园便利店,皓峰国际店,218.7,209,104.64%,9.7,205.4,144.25,138.96,103.81%,135.99,0,0,,0,74.45,70.04,106.30%,69.41,34.04%,33.51%,0.53%,33.79%,17.58,19.77,88.94%,16.93,1.76,1.97,89.27%,1.57,0,0,0,0,0,0,55.11,48.3,114.10%,6.81,50.91,25.20%,23.11%,2.09%,24.79%,8.04%,9.46%,88.94%,8.24%,12.44,10.57,117.66%,12.13,3.13,2.44,128.30%,3.01,4.14,5,-0.86,5,4.24,3.39,3.95,0.29,
